description,name
adversaries may exploit the lack of authentication in signaling system network nodes to track the to track the location of mobile devices by impersonating a node citation engel ss7 citation engel ss7 2008 citation 3gpp security citation positive ss7 citation csric5 wg10 finalreport by providing the victim s msisdn phone number and impersonating network internal nodes to query subscriber information from other nodes adversaries may use data collected from each hop to eventually determine the device s geographical cell area or nearest cell tower citation engel ss7 ,Impersonate SS7 Nodes
adversaries may match or approximate the name or location of legitimate files or resources when naming placing them this is done for the sake of evading defenses and observation this may be done by giving artifacts the name and icon of a legitimate trusted application i e settings or using a package name that matches legitimate trusted applications i e com google android gm adversaries may also use the same icon of the file or application they are trying to mimic ,Match Legitimate Name or Location
,Insecure Third-Party Libraries
adversaries may utilize standard operating system apis to collect data from permission backed data stores on a device such as the calendar or contact list these permissions need to be declared ahead of time on android they must be included in the application s manifest on ios they must be included in the application s info plist file in almost all cases the user is required to grant access to the data store that the application is trying to access in recent os versions vendors have introduced additional privacy controls for users such as the ability to grant permission to an application only while the application is being actively used by the user if the device has been jailbroken or rooted an adversary may be able to access protected user data https attack mitre org techniques t1636 without the user s knowledge or approval ,Protected User Data
adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol asymmetric cryptography also known as public key cryptography uses a keypair per party one public that can be freely distributed and one private that should not be distributed due to how asymmetric algorithms work the sender encrypts data with the receiver s public key and the receiver decrypts the data with their private key this ensures that only the intended recipient can read the encrypted data common public key encryption algorithms include rsa elgamal and ecdsa for efficiency many protocols including ssl tls use symmetric cryptography once a connection is established but use asymmetric cryptography to establish or transmit a key as such these protocols are classified as asymmetric cryptography https attack mitre org techniques t1521 002 ,Asymmetric Cryptography
adversaries may attempt to get a listing of applications that are installed on a device adversaries may use the information from software discovery https attack mitre org techniques t1418 during automated discovery to shape follow on behaviors including whether or not to fully infect the target and or attempts specific actions adversaries may attempt to enumerate applications for a variety of reasons such as figuring out what security measures are present or to identify the presence of target applications ,Software Discovery
adversaries may attempt to get information about running processes on a device information obtained could be used to gain an understanding of common software applications running on devices within a network adversaries may use the information from process discovery https attack mitre org techniques t1424 during automated discovery to shape follow on behaviors including whether or not the adversary fully infects the target and or attempts specific actions recent android security enhancements have made it more difficult to obtain a list of running processes on android 7 and later there is no way for an application to obtain the process list without abusing elevated privileges this is due to the android kernel utilizing the hidepid mount feature prior to android 7 applications could utilize the ps command or examine the proc directory on the device citation android selinuxchanges in ios applications have previously been able to use the sysctl command to obtain a list of running processes this functionality has been removed in later ios versions ,Process Discovery
adversaries may utilize standard operating system apis to gather call log data on android this can be accomplished using the call log content provider ios provides no standard api to access the call log if the device has been jailbroken or rooted an adversary may be able to access the call log https attack mitre org techniques t1636 002 without the user s knowledge or approval ,Call Log
adversaries may attempt to get a listing of security applications and configurations that are installed on a device this may include things such as mobile security products adversaries may use the information from security software discovery https attack mitre org techniques t1418 001 during automated discovery to shape follow on behaviors including whether or not to fully infect the target and or attempt specific actions ,Security Software Discovery
,App Delivered via Email Attachment
adversaries may inject malicious code into processes via ptrace process trace system calls in order to evade process based defenses as well as possibly elevate privileges ptrace system call injection is a method of executing arbitrary code in the address space of a separate live process ptrace system call injection involves attaching to and modifying a running process the ptrace system call enables a debugging process to observe and control another process and each individual thread including changing memory and register values citation ptrace man ptrace system call injection is commonly performed by writing arbitrary code into a running process e g by using malloc then invoking that memory with ptrace_setregs to set the register containing the next instruction to execute ptrace system call injection can also be done with ptrace_poketext ptrace_pokedata which copy data to a specific address in the target process s memory e g the current address of the next instruction citation ptrace man citation medium ptrace jul 2018 ptrace system call injection may not be possible when targeting processes with high privileges and on some systems those that are non child processes citation bh linux inject running code in the context of another process may allow access to the process s memory system network resources and possibly elevated privileges execution via ptrace system call injection may also evade detection from security products since the execution is masked under a legitimate process ,Ptrace System Calls
adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms this not only involves impairing preventative defenses such as anti virus but also detection capabilities that defenders can use to audit activity and identify malicious behavior this may span both native defenses as well as supplemental capabilities installed by users or mobile endpoint administrators ,Impair Defenses
 this technique has been deprecated please use input capture https attack mitre org techniques t1417 input injection https attack mitre org techniques t1516 and input prompt https attack mitre org techniques t1411 where appropriate a malicious app could abuse android s accessibility features to capture sensitive data or perform other malicious actions citation skycure accessibility adversaries may abuse accessibility features on android to emulate a user s clicks for example to steal money from a user s bank account citation android trojan steals paypal 2fa citation banking trojans google play adversaries may abuse accessibility features on android devices to evade defenses by repeatedly clicking the back button when a targeted app manager or mobile security app is launched or when strings suggesting uninstallation are detected in the foreground this effectively prevents the malicious application from being uninstalled citation android trojan steals paypal 2fa ,Abuse Accessibility Features
adversaries may exploit remote services of enterprise servers workstations or other resources to gain unauthorized access to internal systems once inside of a network adversaries may exploit remote services by taking advantage of a mobile device s access to an internal enterprise network through local connectivity or through a virtual private network vpn exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program service or within the operating system software or kernel itself to execute adversary controlled code a common goal for post compromise exploitation of remote services is for lateral movement to enable access to a remote system an adversary may need to determine if the remote system is in a vulnerable state which may be done through network service scanning https attack mitre org techniques t1423 or other discovery methods these look for common vulnerable software that may be deployed in the network the lack of certain patches that may indicate vulnerabilities or security software that may be used to detect or contain remote exploitation servers are likely a high value target for lateral movement exploitation but endpoint systems may also be at risk if they provide an advantage or access to additional resources depending on the permissions level of the vulnerable remote service an adversary may achieve exploitation for privilege escalation https attack mitre org techniques t1404 as a result of lateral movement exploitation as well ,Exploitation of Remote Services
adversaries may communicate using application layer protocols associated with web protocols traffic to avoid detection network filtering by blending in with existing traffic commands to remote mobile devices and often the results of those commands will be embedded within the protocol traffic between the mobile client and server web protocols such as http and https are used for web traffic as well as well as notification services native to mobile messaging services such as google cloud messaging gcm and newly firebase cloud messaging fcm gcm fcm two way communication and apple push notification service apns one way server to device such notification services leverage http s via the respective api and are commonly abused on android and ios respectively in order blend in with routine device traffic making it difficult for enterprises to inspect ,Web Protocols
adversaries can steal user application access tokens as a means of acquiring credentials to access remote systems and resources this can occur through social engineering or uri hijacking and typically requires user action to grant access such as through a system open with dialogue application access tokens are used to make authorized api requests on behalf of a user and are commonly used as a way to access resources in cloud based applications and software as a service saas citation auth0 why you should always use access tokens to secure apis sept 2019 oauth is one commonly implemented framework used to issue tokens to users for access to systems an application desiring access to cloud based services or protected apis can gain entry through oauth 2 0 using a variety of authorization protocols an example of a commonly used sequence is microsoft s authorization code grant flow citation microsoft identity platform protocols may 2019 citation microsoft oauth code authorization flow june 2019 an oauth access token enables a third party application to interact with resources containing user data in the ways requested without requiring user credentials ,Steal Application Access Token
adversaries may attempt to avoid detection by hiding malicious behavior from the user by doing this an adversary s modifications would most likely remain installed on the device for longer allowing the adversary to continue to operate on that device while there are many ways this can be accomplished one method is by using the device s sensors by utilizing the various motion sensors on a device such as accelerometer or gyroscope an application could detect that the device is being interacted with that way the application could continue to run while the device is not in use but cease operating while the user is using the device hiding anything that would indicate malicious activity was ongoing accessing the sensors in this way does not require any permissions from the user so it would be completely transparent ,User Evasion
adversaries may employ various means to detect and avoid virtualization and analysis environments this may include changing behaviors after checking for the presence of artifacts indicative of a virtual machine environment vme or sandbox if the adversary detects a vme they may alter their malware s behavior to disengage from the victim or conceal the core functions of the payload they may also search for vme artifacts before dropping further payloads adversaries may use the information learned from virtualization sandbox evasion https attack mitre org techniques t1633 during automated discovery to shape follow on behaviors adversaries may use several methods to accomplish virtualization sandbox evasion https attack mitre org techniques t1633 such as checking for system artifacts associated with analysis or virtualization adversaries may also check for legitimate user activity to help determine if it is in an analysis environment ,Virtualization/Sandbox Evasion
adversaries may collect the keychain storage data from an ios device to acquire credentials keychains are the built in way for ios to keep track of users passwords and credentials for many services and features such as wi fi passwords websites secure notes certificates private keys and vpn credentials on the device the keychain database is stored outside of application sandboxes to prevent unauthorized access to the raw data standard ios apis allow applications access to their own keychain contained within the database by utilizing a privilege escalation exploit or existing root access an adversary can access the entire encrypted database citation apple keychain services citation elcomsoft decrypt keychain ,Keychain
an adversary may push an update to a previously benign application to add malicious code this can be accomplished by pushing an initially benign functional application to a trusted application store such as the google play store or the apple app store this allows the adversary to establish a trusted userbase that may grant permissions to the application prior to the introduction of malicious code then an application update could be pushed to introduce malicious code citation android_app_breaking_bad this technique could also be accomplished by compromising a developer s account this would allow an adversary to take advantage of an existing userbase without having to establish the userbase themselves ,Application Versioning
on versions of android prior to 4 1 an adversary may use a malicious application that holds the read_logs permission to obtain private keys passwords other credentials or other sensitive data stored in the device s system log on android 4 1 and later an adversary would need to attempt to perform an operating system privilege escalation attack to be able to access the log ,Access Sensitive Data in Device Logs
adversaries may abuse command and script interpreters to execute commands scripts or binaries these interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms most systems come with some built in command line interface and scripting capabilities for example android is a unix like os and includes a basic unix shell https attack mitre org techniques t1623 001 that can be accessed via the android debug bridge adb or java s runtime package adversaries may abuse these technologies in various ways as a means of executing arbitrary commands commands and scripts can be embedded in initial access https attack mitre org tactics ta0027 payloads delivered to victims as lure documents or as secondary payloads downloaded from an existing c2 adversaries may also execute commands through interactive terminals shells ,Command and Scripting Interpreter
adversaries may disable security tools to avoid potential detection of their tools and activities this can take the form of disabling security software modifying selinux configuration or other methods to interfere with security tools scanning or reporting information this is typically done by abusing device administrator permissions or using system exploits to gain root access to the device to modify protected system files ,Disable or Modify Tools
adversaries may transfer tools or other files from an external system onto a compromised device to facilitate follow on actions files may be copied from an external adversary controlled system through the command and control channel or through alternate protocols with another tool such as ftp ,Ingress Tool Transfer
adversaries may dynamically establish connections to command and control infrastructure to evade common detections and remediations this may be achieved by using malware that shares a common algorithm with the infrastructure the adversary uses to receive the malware s communications this algorithm can be used to dynamically adjust parameters such as the domain name ip address or port number the malware uses for command and control ,Dynamic Resolution
the mobile device may be targeted for exploitation through its interface to cellular networks or other radio interfaces baseband vulnerability exploitation a message sent over a radio interface typically cellular but potentially bluetooth gps nfc wi fi citation projectzero broadcomwifi or other to the mobile device could exploit a vulnerability in code running on the device citation register basestation citation weinmann baseband malicious sms message an sms message could contain content designed to exploit vulnerabilities in the sms parser on the receiving device citation forbes iphonesms an sms message could also contain a link to a web site containing malicious content designed to exploit the device web browser vulnerable sim cards may be remotely exploited and reprogrammed via sms messages citation srlabs simcard ,Exploit via Radio Interfaces
adversaries may attempt to get a listing of services running on remote hosts including those that may be vulnerable to remote software exploitation methods to acquire this information include port scans and vulnerability scans from the mobile device this technique may take advantage of the mobile device s access to an internal enterprise network either through local connectivity or through a virtual private network vpn ,Network Service Scanning
adversaries may attempt to avoid detection by hiding malicious behavior from the user by doing this an adversary s modifications would most likely remain installed on the device for longer allowing the adversary to continue to operate on that device while there are many ways this can be accomplished one method is by using the device s sensors by utilizing the various motion sensors on a device such as accelerometer or gyroscope an application could detect that the device is being interacted with that way the application could continue to run while the device is not in use but cease operating while the user is using the device hiding anything that would indicate malicious activity was ongoing accessing the sensors in this way does not require any permissions from the user so it would be completely transparent ,User Evasion
adversaries may steal data by exfiltrating it over an existing command and control channel stolen data is encoded into the normal communications channel using the same protocol as command and control communications ,Exfiltration Over C2 Channel
adversaries may exploit software vulnerabilities in order to elevate privileges exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in an application service within the operating system software or kernel itself to execute adversary controlled code security constructions such as permission levels will often hinder access to information and use of certain techniques adversaries will likely need to perform privilege escalation to include use of software exploitation to circumvent those restrictions when initially gaining access to a device an adversary may be operating within a lower privileged process which will prevent them from accessing certain resources on the system vulnerabilities may exist usually in operating system components and applications running at higher permissions that can be exploited to gain higher levels of access on the system this could enable someone to move from unprivileged or user level permission to root permissions depending on the component that is vulnerable ,Exploitation for Privilege Escalation
adversaries may make forward or block phone calls without user authorization this could be used for adversary goals such as audio surveillance blocking or forwarding calls from the device owner or c2 communication several permissions may be used to programmatically control phone calls including answer_phone_calls allows the application to answer incoming phone calls citation android permissions call_phone allows the application to initiate a phone call without going through the dialer interface citation android permissions process_outgoing_calls allows the application to see the number being dialed during an outgoing call with the option to redirect the call to a different number or abort the call altogether citation android permissions manage_own_calls allows a calling application which manages its own calls through the self managed connectionservice apis citation android permissions bind_telecom_connection_service required permission when using a connectionservice citation android permissions write_call_log allows an application to write to the device call log potentially to hide malicious phone calls citation android permissions when granted some of these permissions an application can make a phone call without opening the dialer first however if an application desires to simply redirect the user to the dialer with a phone number filled in it can launch an intent using intent action_dial which requires no specific permissions this then requires the user to explicitly initiate the call or use some form of input injection https attack mitre org techniques t1516 to programmatically initiate it ,Call Control
adversaries may steal data by exfiltrating it over an un encrypted network protocol other than that of the existing command and control channel the data may also be sent to an alternate network location from the main command and control server adversaries may opt to obfuscate this data without the use of encryption within network protocols that are natively unencrypted such as http ftp or dns adversaries may employ custom or publicly available encoding compression algorithms such as base64 or embed data within protocol headers and fields ,Exfiltration Over Unencrypted Non-C2 Protocol
adversaries may establish persistence using system mechanisms that trigger execution based on specific events mobile operating systems have means to subscribe to events such as receiving an sms message device boot completion or other device activities an intent is a message passed between android applications or system components applications can register to receive broadcast intents at runtime which are system wide intents delivered to each app when certain events happen on the device such as network changes or the user unlocking the screen malicious applications can then trigger certain actions within the app based on which broadcast intent was received in addition to android system intents malicious applications can register for intents broadcasted by other applications this allows the malware to respond based on actions in other applications this behavior typically indicates a more intimate knowledge or potentially the targeting of specific devices users or applications in android 8 api level 26 broadcast intent behavior was changed limiting the implicit intents that applications can register for in the manifest in most cases applications that register through the manifest will no longer receive the broadcasts now applications must register context specific broadcast receivers while the user is actively using the app citation android changes to system broadcasts ,Broadcast Receivers
adversaries may communicate over a commonly used port to bypass firewalls or network detection systems and to blend with normal network activity to avoid more detailed inspection they may use commonly open ports such as tcp 80 http tcp 443 https tcp 25 smtp tcp udp 53 dns they may use the protocol associated with the port or a completely different protocol ,Commonly Used Port
if network traffic between the mobile device and remote servers is unencrypted or is encrypted in an insecure manner then an adversary positioned on the network can eavesdrop on communication citation mhealth ,Eavesdrop on Insecure Network Communication
adversaries may collect data within notifications sent by the operating system or other applications notifications may contain sensitive data such as one time authentication codes sent over sms email or other mediums in the case of credential access adversaries may attempt to intercept one time code sent to the device adversaries can also dismiss notifications to prevent the user from noticing that the notification has arrived and can trigger action buttons contained within notifications citation eset 2fa bypass ,Access Notifications
an adversary may capture network traffic to and from the device to obtain credentials or other sensitive data or redirect network traffic to flow through an adversary controlled gateway to do the same a malicious app could register itself as a vpn client on android or ios to gain access to network packets however on both platforms the user must grant consent to the app to act as a vpn client and on ios the app requires a special entitlement that must be granted by apple alternatively if a malicious app is able to escalate operating system privileges it may be able to use those privileges to gain access to network traffic an adversary could redirect network traffic to an adversary controlled gateway by establishing a vpn connection or by manipulating the device s proxy settings for example skycure citation skycure profiles describes the ability to redirect network traffic by installing a malicious ios configuration profile if applications encrypt their network traffic sensitive data may not be accessible to an adversary depending on the point of capture ,Network Traffic Capture or Redirection
the operating system and installed applications often have legitimate needs to prompt the user for sensitive information such as account credentials bank account information or personally identifiable information pii adversaries may mimic this functionality to prompt users for sensitive information compared to traditional pcs the constrained display size of mobile devices may impair the ability to provide users with contextual information making users more susceptible to this technique s use citation felt phishingonmobiledevices specific approaches to this technique include impersonate the identity of a legitimate application a malicious application could impersonate the identity of a legitimate application e g use the same application name and or icon and get installed on the device the malicious app could then prompt the user for sensitive information citation eset finance display a prompt on top of a running legitimate application a malicious application could display a prompt on top of a running legitimate application to trick users into entering sensitive information into the malicious application rather than the legitimate application typically the malicious application would need to know when the targeted application and individual activity within the targeted application is running in the foreground so that the malicious application knows when to display its prompt android 5 0 and 5 1 1 respectively increased the difficulty of determining the current foreground application through modifications to the activitymanager api citation android getrunningtasks citation stackoverflow getrunningappprocesses a malicious application can still abuse android s accessibility features to determine which application is currently in the foreground citation threatfabric cerberus approaches to display a prompt include a malicious application could start a new activity on top of a running legitimate application citation felt phishingonmobiledevices citation hassell exploitingandroid android 10 places new restrictions on the ability for an application to start a new activity on top of another application which may make it more difficult for adversaries to utilize this technique citation android background a malicious application could create an application overlay window on top of a running legitimate application applications must hold the system_alert_window permission to create overlay windows this permission is handled differently than typical android permissions and at least under certain conditions is automatically granted to applications installed from the google play store citation cloak and dagger citation nowsecure android overlay citation skycure accessibility the system_alert_window permission and its associated ability to create application overlay windows are expected to be deprecated in a future release of android in favor of a new api citation xda bubbles fake device notifications a malicious application could send fake device notifications to the user clicking on the device notification could trigger the malicious application to display an input prompt citation group ib gustuff mar 2019 ,Input Prompt
adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel the data may also be sent to an alternate network location from the main command and control server alternate protocols include ftp smtp http s dns smb or any other network protocol not being used as the main command and control channel different protocol channels could also include web services such as cloud storage adversaries may opt to also encrypt and or obfuscate these alternate channels ,Exfiltration Over Alternative Protocol
adversaries may check for internet connectivity on compromised systems this may be performed during automated discovery and can be accomplished in numerous ways such as using adb shell netstat for android citation adb_commands adversaries may use the results and responses from these requests to determine if the mobile devices are capable of communicating with adversary owned c2 servers before attempting to connect to them the results may also be used to identify routes redirectors and proxy servers ,Internet Connection Discovery
,Biometric Spoofing
adversaries may use scripts automatically executed at boot or logon initialization to establish persistence initialization scripts are part of the underlying operating system and are not accessible to the user unless the device has been rooted or jailbroken ,Boot or Logon Initialization Scripts
adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversary s campaign values an adversary can provide about a target system or environment to use as guardrails may include environment information such as location citation swb exodus march 2019 guardrails can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within this use of guardrails is distinct from typical system checks https attack mitre org techniques t1633 001 while use of system checks https attack mitre org techniques t1633 001 may involve checking for known sandbox values and continuing with execution only if there is no match the use of guardrails will involve checking for an expected target specific value and only continuing with execution if there is such a match ,Execution Guardrails
adversaries may mimic common operating system gui components to prompt users for sensitive information with a seemingly legitimate prompt the operating system and installed applications often have legitimate needs to prompt the user for sensitive information such as account credentials bank account information or personally identifiable information pii compared to traditional pcs the constrained display size of mobile devices may impair the ability to provide users with contextual information making users more susceptible to this technique s use citation felt phishingonmobiledevices there are several approaches adversaries may use to mimic this functionality adversaries may impersonate the identity of a legitimate application e g use the same application name and or icon and when installed on the device may prompt the user for sensitive information citation eset finance adversaries may also send fake device notifications to the user that may trigger the display of an input prompt when clicked citation group ib gustuff mar 2019 additionally adversaries may display a prompt on top of a running legitimate application to trick users into entering sensitive information into a malicious application rather than the legitimate application typically adversaries need to know when the targeted application and the individual activity within the targeted application is running in the foreground to display the prompt at the proper time adversaries can abuse android s accessibility features to determine which application is currently in the foreground citation threatfabric cerberus two known approaches to displaying a prompt include adversaries start a new activity on top of a running legitimate application citation felt phishingonmobiledevices citation hassell exploitingandroid android 10 places new restrictions on the ability for an application to start a new activity on top of another application which may make it more difficult for adversaries to utilize this technique citation android background adversaries create an application overlay window on top of a running legitimate application applications must hold the system_alert_window permission to create overlay windows this permission is handled differently than typical android permissions and at least under certain conditions is automatically granted to applications installed from the google play store citation cloak and dagger citation nowsecure android overlay citation skycure accessibility the system_alert_window permission and its associated ability to create application overlay windows are expected to be deprecated in a future release of android in favor of a new api citation xda bubbles ,GUI Input Capture
an adversary could call standard operating system apis from a malicious application to gather contact list i e address book data or with escalated privileges could directly access files containing contact list data ,Access Contact List
adversaries may modify system software binaries to establish persistent access to devices system software binaries are used by the underlying operating system and users over adb or terminal emulators adversaries may make modifications to client software binaries to carry out malicious tasks when those binaries are executed for example malware may come with a pre compiled malicious binary intended to overwrite the genuine one on the device since these binaries may be routinely executed by the system or user the adversary can leverage this for persistent access to the device ,Compromise Client Software Binary
adversaries may perform software packing to conceal their code software packing is a method of compressing or encrypting an executable packing an executable changes the file signature in an attempt to avoid signature based detection most decompression techniques decompress the executable code in memory utilities used to perform software packing are called packers an example packer is ftt a more comprehensive list of known packers is available but adversaries may create their own packing techniques that do not leave the same artifacts as well known packers to evade defenses ,Software Packing
,Abuse of iOS Enterprise App Signing Key
an adversary could exploit signaling system vulnerabilities to track the location of mobile devices citation engel ss7 citation engel ss7 2008 citation 3gpp security citation positive ss7 citation csric5 wg10 finalreport ,Exploit SS7 to Track Device Location
adversaries may use android s native development kit ndk to write native functions that can achieve execution of binaries or functions like system calls on a traditional desktop operating system native code achieves execution on a lower level than normal android sdk calls the ndk allows developers to write native code in c or c that is compiled directly to machine code avoiding all intermediate languages and steps in compilation that higher level languages like java typically have the java native interface jni is the component that allows java functions in the android app to call functions in a native library citation google ndk getting started adversaries may also choose to use native functions to execute malicious code since native actions are typically much more difficult to analyze than standard non native behaviors citation mitre app vetting effectiveness ,Native API
malicious applications are a common attack vector used by adversaries to gain a presence on mobile devices this technique describes installing a malicious application on targeted mobile devices without involving an authorized app store e g google play store or apple app store adversaries may wish to avoid placing malicious applications in an authorized app store due to increased potential risk of detection or other reasons however mobile devices often are configured to allow application installation only from an authorized app store which would prevent this technique from working delivery methods for the malicious application include spearphishing attachment https attack mitre org techniques t1566 001 including the mobile app package as an attachment to an email message spearphishing link https attack mitre org techniques t1566 002 including a link to the mobile app package within an email text message e g sms imessage hangouts whatsapp etc web site qr code or other means third party app store installed from a third party app store as opposed to an authorized app store that the device implicitly trusts as part of its default behavior which may not apply the same level of scrutiny to apps as applied by an authorized app store citation ibtimes thirdparty citation trendmicro rootingmalware citation trendmicro flappybird some android malware comes with functionality to install additional applications either automatically or when the adversary instructs it to citation android trojan steals paypal 2fa ,Deliver Malicious App via Other Means
an adversary who is able to obtain unauthorized access to or misuse authorized access to cloud services e g google s android device manager or apple icloud s find my iphone or to an emm console could use that access to wipe enrolled devices citation honan hacking ,Remotely Wipe Data Without Authorization
adversaries may exploit software vulnerabilities in client applications to execute code vulnerabilities can exist in software due to insecure coding practices that can lead to unanticipated behavior adversaries may take advantage of certain vulnerabilities through targeted exploitation for the purpose of arbitrary code execution oftentimes the most valuable exploits to an offensive toolkit are those that can be used to obtain code execution on a remote system because they can be used to gain access to that system users will expect to see files related to the applications they commonly used to do work so they are a useful target for exploit research and development because of their high utility adversaries may use device based zero click exploits for code execution these exploits are powerful because there is no user interaction required for code execution sms imessage delivery sms and imessage in ios are common targets through drive by compromise https attack mitre org techniques t1456 phishing https attack mitre org techniques t1660 etc adversaries may use embed malicious links files etc in sms messages or imessages mobile devices may be compromised through one click exploits where the victim must interact with a text message or zero click exploits where no user interaction is required airdrop unique to ios airdrop is a network protocol that allows ios users to transfer files between ios devices before patches from apple were released on ios 13 4 and earlier adversaries may force the apple wireless direct link awdl interface to activate then exploit a buffer overflow to gain access to the device and run as root without interaction from the user ,Exploitation for Client Execution
adversaries may use a compromised device as a proxy server to the internet by utilizing a proxy adversaries hide the true ip address of their c2 server and associated infrastructure from the destination of the network traffic this masquerades an adversary s traffic as legitimate traffic originating from the compromised device which can evade ip based restrictions and alerts on certain services such as bank accounts and social media websites citation threat fabric exobot the most common type of proxy is a socks proxy it can typically be implemented using standard os level apis and 3rd party libraries with no indication to the user on android adversaries can use the proxy api to programmatically establish a socks proxy connection or lower level apis to interact directly with raw sockets ,Proxy Through Victim
